Group_1,Date_Time,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia,Point,latitude,longitude
18,2019-07-13 11:56:32,0.177754098,25.9987541,484.0311475,0.08852459,0.433770492,0.686229508,0.696885246,3.863114754,11.20803279,32.17639344,193.3918033,15.67131148,8.823278689,0.25204918,18,43.09882,-89.44431
19,2019-07-13 12:01:40,0.174622951,26.38495082,477.0885246,0.075409836,0.376065574,0.578032787,0.583770492,3.364918033,11.42278689,32.79114754,205.0098361,16.49770492,8.822131148,0.24747541,19,43.09967,-89.43567
20,2019-07-13 12:08:20,0.177147541,26.27759016,477.4803279,0.071803279,0.36442623,0.659508197,0.668196721,3.649016393,11.52918033,33.0947541,202.4196721,16.32098361,8.820163934,0.251098361,20,43.10219,-89.42429
21,2019-07-13 12:15:40,0.092803279,26.69906557,477.8147541,0.063606557,0.335081967,0.313114754,0.306229508,2.301967213,11.67131148,33.50508197,192.1754098,15.37803279,8.803114754,0.13157377,21,43.1038,-89.4027
22,2019-07-13 12:23:40,0.126852459,27.16385246,469.8852459,0.055737705,0.3,0.215081967,0.204098361,1.731311475,10.95114754,31.43967213,197.8098361,15.69737705,8.79,0.179836066,22,43.10441,-89.3904
23,2019-07-13 12:29:10,0.15742623,27.23788525,469.447541,0.046393443,0.263770492,0.199508197,0.188688525,1.813114754,10.73885246,30.83213115,199.3,15.7952459,8.79,0.223196721,23,43.10414,-89.3826
24,2019-07-13 12:37:37,0.13504918,27.31537705,471.9508197,0.049016393,0.274754098,0.163606557,0.151147541,1.537377049,11.00704918,31.60147541,191.2901639,15.13885246,8.762459016,0.191491803,24,43.11394,-89.38601
25,2019-07-13 12:43:10,0.12157377,27.22760656,470.6918033,0.049344262,0.27442623,0.230163934,0.22,1.745245902,10.9204918,31.35344262,197.4213115,15.64885246,8.77295082,0.172377049,25,43.1155,-89.3877
26,2019-07-13 12:51:00,0.114327869,27.25804918,470.6196721,0.161803279,0.729180328,0.466065574,0.466065574,3.007868852,11.85377049,34.02508197,207.5901639,16.44721311,8.855901639,0.162114754,26,43.1235,-89.3935
27,2019-07-13 13:03:55,0.135934426,27.0502623,472.7901639,0.055901639,0.301147541,0.174590164,0.161803279,1.722295082,11.36983607,32.64213115,198.8606557,15.81344262,8.800491803,0.192704918,27,43.11057,-89.39782
28,2019-07-13 13:11:30,0.094262295,26.66683607,475.3016393,0.066229508,0.34295082,0.463114754,0.463278689,2.829344262,12.28803279,35.27245902,198.8655738,15.92262295,8.832786885,0.133491803,28,43.1102,-89.40776
29,2019-07-13 13:18:00,0.185327869,26.34152459,474.0098361,0.055737705,0.301311475,0.540327869,0.544262295,3.228360656,11.56754098,33.2057377,203.8754098,16.42065574,8.82,0.262885246,29,43.10779,-89.41816
30,2019-07-13 13:23:32,0.176229508,26.18965574,476.2442623,0.061967213,0.326229508,0.539016393,0.542459016,3.047213115,11.70754098,33.60983607,199.8508197,16.1395082,8.822622951,0.249754098,30,43.1113,-89.43135
31,2019-07-13 13:30:25,0.182639344,26.11208197,484.0147541,0.092459016,0.44852459,1.145081967,1.176065574,6.356885246,13.0257377,37.38672131,188.3803279,15.23508197,8.801967213,0.258934426,31,43.11343,-89.44592
1,2019-07-22 09:27:20,0.115459016,25.71347541,521.1295082,0.513442623,2.145081967,1.332131148,1.371311475,5.93557377,12.17803279,34.95803279,126.3655738,10.29360656,8.697868852,0.163803279,1,43.081864,-89.418058
2,2019-07-22 09:43:00,0.122393443,25.71855738,520.5311475,0.270819672,1.166885246,1.33442623,1.373114754,5.399016393,11.83836066,33.98229508,128.1754098,10.4395082,8.707704918,0.17357377,2,43.083948,-89.407408
3,2019-07-22 09:52:55,0.101393443,25.58590164,525.0590164,0.27704918,1.194918033,1.191147541,1.223278689,5.12295082,12.32163934,35.36721311,114.9737705,9.386393443,8.623934426,0.143754098,3,43.08115,-89.394608
4,2019-07-22 10:01:15,0.087737705,25.41072131,524.9081967,0.186393443,0.826885246,1.009836066,1.033606557,4.23295082,12.16770492,34.9257377,115.4540984,9.456229508,8.630655738,0.124344262,4,43.087881,-89.385725
5,2019-07-22 10:10:15,0.052065574,25.34388525,525.2114754,0.166557377,0.746065574,0.941803279,0.963442623,3.61,12.1052459,34.74983607,115.6754098,9.486393443,8.627868852,0.073819672,5,43.095269,-89.382003
6,2019-07-22 10:18:20,0.123721311,25.5482459,521.2836066,0.207377049,0.91442623,1.346557377,1.385737705,4.895081967,11.7847541,33.82786885,127.5213115,10.41852459,8.7,0.175393443,6,43.096049,-89.395559
7,2019-07-22 10:39:40,0.090311475,25.70862295,519.6983607,0.236721311,1.030163934,1.468688525,1.513278689,5.888032787,11.74672131,33.72016393,130.9377049,10.66622951,8.719344262,0.127967213,7,43.096004,-89.411113
